REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars),value_per_hectare,value_per_tonne
1908,MP,Barley,31.0,1525.0,11750.0,19000.0,7700.0,369,0.04792207792207792,0.031404255319148935
1908,MP,Mixed grains,27.0,1855.0,20850.0,27700.0,11250.0,556,0.04942222222222222,0.02666666666666667
1908,MP,Oats,31.0,1120.0,221450.0,487900.0,197450.0,6786,0.034368194479615095,0.03064348611424701
1908,MP,Tame hay,1.08,3470.0,1357550.0,1442000.0,590725.0,23955,0.04055186423462694,0.017645758903907776
1908,MP,"Wheat, all",38.0,1085.0,29950.0,68400.0,27650.0,1150,0.04159132007233273,0.038397328881469114
1908,NB,Barley,32.0,1215.0,1700.0,3500.0,1400.0,55,0.039285714285714285,0.03235294117647059
1908,NB,"Beans, all dry (white and coloured)",77.0,1125.0,900.0,2000.0,800.0,69,0.08625,0.07666666666666666
1908,NB,Buckwheat,27.0,1375.0,34250.0,61700.0,24950.0,909,0.03643286573146293,0.02654014598540146
1908,NB,Corn for silage,0.39,4326.875,8000.0,900.0,350.0,31,0.08857142857142856,0.003875
1908,NB,Mixed grains,27.0,1440.0,3100.0,5300.0,2150.0,85,0.03953488372093023,0.027419354838709678
1908,NB,Oats,33.0,945.0,78000.0,203900.0,82500.0,2539,0.030775757575757574,0.03255128205128205
1908,NB,"Peas, dry",43.0,590.0,650.0,2700.0,1100.0,28,0.025454545454545455,0.043076923076923075
1908,NB,"Rye, all",29.0,1260.0,102.0,200.0,81.0,3,0.037037037037037035,0.029411764705882353
1908,NB,Tame hay,1.03,3010.0,845000.0,694500.0,281000.0,8664,0.03083274021352313,0.010253254437869822
1908,NB,"Wheat, all",42.0,1165.0,9500.0,20200.0,8150.0,402,0.04932515337423313,0.04231578947368421
1908,NS,Barley,33.0,1550.0,6050.0,9600.0,3900.0,202,0.05179487179487179,0.033388429752066115
1908,NS,"Beans, all dry (white and coloured)",81.0,1200.0,1500.0,3100.0,1250.0,121,0.0968,0.08066666666666666
1908,NS,Buckwheat,30.0,1340.0,9800.0,18000.0,7300.0,295,0.04041095890410959,0.03010204081632653
1908,NS,Corn for silage,0.33,4326.875,11000.0,1600.0,650.0,36,0.055384615384615386,0.0032727272727272726
1908,NS,Mixed grains,30.0,1785.0,5350.0,7400.0,3000.0,161,0.05366666666666667,0.030093457943925234
1908,NS,Oats,34.0,1210.0,65450.0,133900.0,54200.0,2224,0.04103321033210332,0.03398013750954927
1908,NS,"Peas, dry",45.0,915.0,550.0,1500.0,600.0,25,0.041666666666666664,0.045454545454545456
1908,NS,"Rye, all",27.0,1000.0,300.0,700.0,300.0,8,0.02666666666666667,0.02666666666666667
1908,NS,Tame hay,1.14,3810.0,988000.0,640800.0,259000.0,11242,0.043405405405405405,0.011378542510121457
1908,NS,"Wheat, all",39.0,1170.0,9750.0,20600.0,8350.0,378,0.04526946107784431,0.03876923076923077
1908,ON,Barley,24.0,1530.0,459900.0,743800.0,301000.0,11217,0.03726578073089701,0.024390084801043706
1908,ON,"Beans, all dry (white and coloured)",56.0,1410.0,24400.0,42800.0,17300.0,1355,0.07832369942196532,0.055532786885245905
1908,ON,Buckwheat,25.0,1345.0,63300.0,116300.0,47100.0,1570,0.03333333333333333,0.024802527646129544
1908,ON,Corn for grain,20.0,4120.0,552000.0,332200.0,134000.0,10871,0.08112686567164179,0.019693840579710145
1908,ON,Corn for silage,0.43,4326.875,1357550.0,212400.0,86000.0,9708,0.11288372093023256,0.007151117822547973
1908,ON,Mixed grains,24.0,1770.0,301600.0,421000.0,170400.0,7315,0.042928403755868545,0.024253978779840847
1908,ON,Oats,26.0,1275.0,1357550.0,1442000.0,590725.0,41425,0.07012569300435904,0.030514529851570844
1908,ON,"Peas, dry",30.0,1195.0,171300.0,354600.0,143500.0,5123,0.03570034843205575,0.029906596614127264
1908,ON,"Rye, all",28.0,1020.0,26200.0,63400.0,25700.0,745,0.02898832684824903,0.028435114503816795
1908,ON,Sugar beets,0.61,4326.875,60800.0,5600.0,2300.0,370,0.1608695652173913,0.0060855263157894735
1908,ON,Tame hay,1.21,3270.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1908,ON,"Wheat, all",33.0,1495.0,491500.0,812400.0,328900.0,16021,0.04871085436302828,0.032596134282807734
1908,ON,"Wheat, spring",32.0,1060.0,61500.0,143000.0,57900.0,1961,0.03386873920552677,0.03188617886178862
1908,PP,Barley,18.0,1405.0,498000.0,873300.0,354000.0,8755,0.024731638418079096,0.017580321285140563
1908,PP,Flaxseed,38.0,680.0,38100.0,139300.0,56000.0,1457,0.02601785714285714,0.038241469816272966
1908,PP,Oats,19.0,1330.0,1357550.0,1442000.0,590725.0,29049,0.04917516610944179,0.021398106883724358
1908,PP,"Peas, dry",15.0,1415.0,850.0,1600.0,600.0,13,0.021666666666666667,0.015294117647058824
1908,PP,"Rye, all",25.0,1285.0,9000.0,15800.0,7000.0,223,0.031857142857142855,0.024777777777777777
1908,PP,Sugar beets,0.55,4326.875,38100.0,5200.0,2100.0,208,0.09904761904761905,0.005459317585301837
1908,PP,Tame hay,0.8,4000.0,320000.0,190600.0,80000.0,2571,0.0321375,0.008034375
1908,PP,"Wheat, all",29.0,1100.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1908,PEI,Barley,28.0,1665.0,4000.0,5900.0,2400.0,112,0.04666666666666667,0.028
1908,PEI,Buckwheat,25.0,1500.0,2400.0,3900.0,1600.0,60,0.0375,0.025
1908,PEI,Corn for silage,0.44,1667.0,5000.0,800.0,300.0,22,0.07333333333333333,0.0044
1908,PEI,Mixed grains,25.0,2035.0,12400.0,15000.0,6100.0,310,0.05081967213114754,0.025
1908,PEI,Oats,26.0,1285.0,78000.0,150100.0,60750.0,2023,0.033300411522633744,0.025935897435897436
1908,PEI,"Peas, dry",35.0,1600.0,400.0,600.0,250.0,14,0.056,0.035
1908,PEI,Tame hay,1.07,3900.0,378000.0,238500.0,97000.0,4049,0.04174226804123711,0.010711640211640212
1908,PEI,"Wheat, all",35.0,960.0,10700.0,27600.0,11150.0,370,0.033183856502242155,0.03457943925233645
1908,QU,Barley,21.0,1065.0,47200.0,109600.0,44400.0,1012,0.022792792792792792,0.021440677966101693
1908,QU,"Beans, all dry (white and coloured)",63.0,1445.0,7000.0,12000.0,4850.0,441,0.09092783505154639,0.063
1908,QU,Buckwheat,31.0,1240.0,45950.0,91400.0,37000.0,1435,0.03878378378378378,0.031229597388465723
1908,QU,Corn for grain,34.0,2105.0,28600.0,33600.0,13600.0,963,0.07080882352941177,0.033671328671328674
1908,QU,Corn for silage,0.5,4326.875,400000.0,44100.0,17800.0,2015,0.11320224719101124,0.0050375
1908,QU,Mixed grains,34.0,1230.0,66300.0,133200.0,53900.0,2269,0.04209647495361781,0.034223227752639515
1908,QU,Oats,35.0,875.0,547100.0,1442000.0,590725.0,19229,0.03255152566761183,0.035147139462621095
1908,QU,"Peas, dry",42.0,875.0,18350.0,51900.0,21000.0,767,0.03652380952380952,0.0417983651226158
1908,QU,"Rye, all",34.0,1010.0,8300.0,20200.0,8200.0,283,0.03451219512195122,0.03409638554216868
1908,QU,Tame hay,1.21,2690.0,1357550.0,1442000.0,590725.0,38198,0.06466291421558255,0.028137453500791866
1908,QU,"Wheat, all",42.0,910.0,38800.0,105500.0,42700.0,1633,0.038243559718969554,0.04208762886597938
1908,SK,Barley,18.0,1275.0,42000.0,81000.0,33000.0,754,0.022848484848484847,0.017952380952380952
1908,SK,Flaxseed,39.0,645.0,29100.0,110000.0,45000.0,1128,0.025066666666666668,0.03876288659793815
1908,SK,Oats,19.0,1195.0,450000.0,930100.0,376000.0,8470,0.02252659574468085,0.018822222222222223
1908,SK,"Rye, all",45.0,1000.0,1000.0,3000.0,1000.0,45,0.045,0.045
1908,SK,Tame hay,0.55,2400.0,24000.0,14300.0,10000.0,133,0.0133,0.005541666666666667
1908,SK,"Wheat, all",27.0,975.0,946000.0,1442000.0,590725.0,25883,0.04381565026027339,0.02736046511627907
1909,AB,Barley,15.0,1745.0,131000.0,186000.0,75000.0,2016,0.02688,0.015389312977099237
1909,AB,Flaxseed,41.0,1400.0,2800.0,5800.0,2000.0,114,0.057,0.04071428571428572
1909,AB,Oats,16.0,1785.0,592000.0,820000.0,332000.0,9287,0.02797289156626506,0.0156875
1909,AB,"Rye, all",20.0,1335.0,4000.0,6800.0,3000.0,81,0.027,0.02025
1909,AB,Sugar beets,0.55,4326.875,14500.0,2000.0,800.0,80,0.1,0.005517241379310344
1909,AB,Tame hay,0.99,4050.0,81000.0,60400.0,20000.0,800,0.04,0.009876543209876543
1909,AB,"Wheat, all",27.0,1675.0,261000.0,385000.0,156000.0,7037,0.04510897435897436,0.02696168582375479
1909,CA,Barley,21.0,1600.0,1206450.0,1442000.0,590725.0,25434,0.04305556731135469,0.021081685938082805
1909,CA,"Beans, all dry (white and coloured)",52.0,1595.0,35950.0,55800.0,22550.0,1881,0.08341463414634147,0.05232267037552156
1909,CA,Buckwheat,27.0,1485.0,169900.0,282400.0,114350.0,4554,0.039825098382160036,0.026804002354326076
1909,CA,Corn for grain,26.0,3450.0,489600.0,352200.0,142000.0,12760,0.08985915492957747,0.026062091503267975
1909,CA,Corn for silage,0.6,4326.875,1357550.0,269600.0,109300.0,15116,0.1382982616651418,0.011134764833707782
1909,CA,Flaxseed,49.0,1005.0,56300.0,138500.0,56000.0,2761,0.049303571428571426,0.04904085257548845
1909,CA,Mixed grains,28.0,1680.0,395850.0,582100.0,235550.0,10916,0.046342602419868394,0.02757610205886068
1909,CA,Oats,22.0,1450.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1909,CA,"Peas, dry",32.0,1395.0,221650.0,393300.0,159150.0,7124,0.044762802387684576,0.03214076246334311
1909,CA,"Rye, all",29.0,1180.0,43902.0,91300.0,37181.0,1254,0.03372690352599446,0.02856361896952303
1909,CA,Sugar beets,0.64,4326.875,78000.0,10000.0,4000.0,500,0.125,0.00641025641025641
1909,CA,Tame hay,1.23,3240.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1909,CA,"Wheat, all",31.0,1445.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1909,MA,Barley,17.0,1610.0,454000.0,696000.0,282000.0,7929,0.028117021276595745,0.0174647577092511
1909,MA,Flaxseed,52.0,900.0,8100.0,22400.0,9000.0,418,0.04644444444444444,0.051604938271604936
1909,MA,Oats,20.0,1515.0,852000.0,1390000.0,563000.0,17178,0.030511545293072824,0.020161971830985916
1909,MA,"Peas, dry",17.0,1300.0,650.0,1200.0,500.0,11,0.022,0.016923076923076923
1909,MA,"Rye, all",23.0,1000.0,2000.0,4700.0,2000.0,46,0.023,0.023
1909,MA,Tame hay,0.84,3100.0,155000.0,115700.0,50000.0,1298,0.02596,0.008374193548387096
1909,MA,"Wheat, all",32.0,1260.0,1357550.0,1442000.0,590725.0,45854,0.07762325955393795,0.03377702478730065
1909,MP,Barley,32.0,1445.0,10550.0,18000.0,7300.0,334,0.04575342465753424,0.03165876777251185
1909,MP,Mixed grains,27.0,1905.0,20650.0,26800.0,10850.0,561,0.051705069124423964,0.027167070217917675
1909,MP,Oats,30.0,1175.0,251900.0,529300.0,214200.0,7495,0.0349906629318394,0.029753870583564906
1909,MP,Tame hay,1.16,3400.0,1357550.0,1442000.0,590725.0,24952,0.042239620804943076,0.018380170159478473
1909,MP,"Wheat, all",40.0,1345.0,35950.0,66100.0,26750.0,1430,0.05345794392523365,0.03977746870653686
1909,NB,Barley,32.0,1575.0,2050.0,3200.0,1300.0,65,0.05,0.03170731707317073
1909,NB,"Beans, all dry (white and coloured)",99.0,3070.0,2150.0,1700.0,700.0,212,0.3028571428571429,0.0986046511627907
1909,NB,Buckwheat,25.0,1550.0,37600.0,59900.0,24250.0,950,0.03917525773195876,0.02526595744680851
1909,NB,Corn for silage,0.35,4326.875,11000.0,800.0,300.0,38,0.12666666666666668,0.0034545454545454545
1909,NB,Mixed grains,30.0,1650.0,3300.0,5000.0,2000.0,98,0.049,0.029696969696969697
1909,NB,Oats,31.0,1060.0,89050.0,207200.0,83850.0,2801,0.03340488968395945,0.03145423919146547
1909,NB,"Peas, dry",49.0,1790.0,1700.0,2400.0,950.0,84,0.08842105263157894,0.04941176470588235
1909,NB,"Rye, all",29.0,1260.0,102.0,200.0,81.0,3,0.037037037037037035,0.029411764705882353
1909,NB,Tame hay,1.13,2810.0,777000.0,684400.0,277000.0,8777,0.03168592057761733,0.011296010296010297
1909,NB,"Wheat, all",41.0,1350.0,10750.0,19600.0,7950.0,440,0.055345911949685536,0.04093023255813953
1909,NS,Barley,35.0,1335.0,4800.0,8900.0,3600.0,170,0.04722222222222222,0.035416666666666666
1909,NS,"Beans, all dry (white and coloured)",83.0,1955.0,2250.0,2900.0,1150.0,186,0.1617391304347826,0.08266666666666667
1909,NS,Buckwheat,29.0,1375.0,10250.0,18400.0,7450.0,294,0.03946308724832215,0.028682926829268294
1909,NS,Corn for silage,0.94,4326.875,8000.0,1500.0,600.0,75,0.125,0.009375
1909,NS,Mixed grains,31.0,1805.0,5150.0,7000.0,2850.0,159,0.05578947368421053,0.03087378640776699
1909,NS,Oats,33.0,1200.0,67200.0,138100.0,55900.0,2214,0.03960644007155635,0.03294642857142857
1909,NS,"Peas, dry",46.0,2635.0,1450.0,1400.0,550.0,66,0.12,0.04551724137931035
1909,NS,"Rye, all",30.0,2000.0,400.0,600.0,200.0,12,0.06,0.03
1909,NS,Tame hay,1.24,3950.0,1016000.0,634400.0,257000.0,12602,0.04903501945525292,0.012403543307086614
1909,NS,"Wheat, all",43.0,1335.0,11000.0,20400.0,8250.0,477,0.05781818181818182,0.04336363636363636
1909,ON,Barley,26.0,1560.0,456200.0,721500.0,292000.0,11670,0.03996575342465753,0.025580885576501535
1909,ON,"Beans, all dry (white and coloured)",41.0,1540.0,24600.0,39600.0,16000.0,1000,0.0625,0.04065040650406504
1909,ON,Buckwheat,26.0,1465.0,76900.0,129700.0,52500.0,1993,0.03796190476190476,0.02591677503250975
1909,ON,Corn for grain,26.0,3590.0,463000.0,320000.0,129000.0,11837,0.09175968992248063,0.025565874730021598
1909,ON,Corn for silage,0.61,4326.875,1357550.0,227000.0,92000.0,12691,0.13794565217391305,0.009348458620308643
1909,ON,Mixed grains,26.0,1745.0,297800.0,422300.0,170900.0,7864,0.04601521357519017,0.02640698455339154
1909,ON,Oats,27.0,1325.0,1357550.0,1442000.0,590725.0,45315,0.0767108214482204,0.03337998600419874
1909,ON,"Peas, dry",31.0,1425.0,197000.0,341300.0,138100.0,6008,0.043504706734250546,0.03049746192893401
1909,ON,"Rye, all",28.0,1205.0,27900.0,57300.0,23200.0,770,0.03318965517241379,0.027598566308243727
1909,ON,Sugar beets,0.66,4326.875,63500.0,8000.0,3200.0,420,0.13125,0.006614173228346456
1909,ON,Tame hay,1.4,3030.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1909,ON,"Wheat, all",37.0,1550.0,442200.0,705800.0,285500.0,16370,0.05733800350262697,0.037019448213478065
1909,ON,"Wheat, spring",36.0,1170.0,59200.0,124700.0,50500.0,2115,0.041881188118811884,0.035726351351351354
1909,PP,Barley,17.0,1660.0,683000.0,1017000.0,412000.0,11563,0.028065533980582525,0.016929721815519765
1909,PP,Flaxseed,49.0,1005.0,56300.0,138500.0,56000.0,2761,0.049303571428571426,0.04904085257548845
1909,PP,Oats,17.0,1740.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1909,PP,"Peas, dry",17.0,1300.0,650.0,1200.0,500.0,11,0.022,0.016923076923076923
1909,PP,"Rye, all",24.0,1165.0,7000.0,14200.0,6000.0,168,0.028,0.024
1909,PP,Sugar beets,0.55,4326.875,14500.0,2000.0,800.0,80,0.1,0.005517241379310344
1909,PP,Tame hay,0.85,3360.0,269000.0,192600.0,80000.0,2278,0.028475,0.008468401486988847
1909,PP,"Wheat, all",30.0,1440.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1909,PEI,Barley,27.0,1540.0,3700.0,5900.0,2400.0,99,0.04125,0.026756756756756758
1909,PEI,Buckwheat,25.0,1290.0,2000.0,3800.0,1550.0,50,0.03225806451612903,0.025
1909,PEI,Corn for silage,0.36,3000.0,9000.0,700.0,300.0,32,0.10666666666666667,0.0035555555555555557
1909,PEI,Mixed grains,25.0,2035.0,12200.0,14800.0,6000.0,304,0.050666666666666665,0.024918032786885248
1909,PEI,Oats,26.0,1285.0,95650.0,184000.0,74450.0,2480,0.03331094694425789,0.025927861996863564
1909,PEI,"Peas, dry",35.0,1600.0,400.0,600.0,250.0,14,0.056,0.035
1909,PEI,Tame hay,1.01,3630.0,352000.0,239700.0,97000.0,3572,0.036824742268041236,0.010147727272727274
1909,PEI,"Wheat, all",36.0,1345.0,14200.0,26100.0,10550.0,513,0.04862559241706161,0.03612676056338028
1909,QU,Barley,33.0,1290.0,56700.0,108400.0,43900.0,1867,0.04252847380410023,0.03292768959435626
1909,QU,"Beans, all dry (white and coloured)",69.0,1480.0,6950.0,11600.0,4700.0,478,0.10170212765957447,0.06877697841726618
1909,QU,Buckwheat,29.0,1510.0,43150.0,70600.0,28600.0,1267,0.0443006993006993,0.02936268829663963
1909,QU,Corn for grain,35.0,2045.0,26600.0,32200.0,13000.0,923,0.071,0.03469924812030075
1909,QU,Corn for silage,0.55,4326.875,411000.0,39700.0,16100.0,2279,0.1415527950310559,0.005545012165450122
1909,QU,Mixed grains,32.0,1440.0,77400.0,133000.0,53800.0,2491,0.04630111524163569,0.03218346253229974
1909,QU,Oats,30.0,1030.0,655500.0,1442000.0,590725.0,19891,0.03367218248762115,0.030344774980930588
1909,QU,"Peas, dry",46.0,1090.0,20450.0,46400.0,18800.0,941,0.0500531914893617,0.04601466992665037
1909,QU,"Rye, all",35.0,1105.0,8500.0,19000.0,7700.0,301,0.03909090909090909,0.03541176470588235
1909,QU,Tame hay,1.1,3410.0,1357550.0,1442000.0,590725.0,44440,0.07522959075712049,0.032735442525137194
1909,QU,"Wheat, all",43.0,1125.0,45700.0,100500.0,40700.0,1960,0.04815724815724816,0.04288840262582057
1909,SK,Barley,17.0,1780.0,98000.0,135000.0,55000.0,1618,0.02941818181818182,0.016510204081632653
1909,SK,Flaxseed,49.0,1010.0,45400.0,110300.0,45000.0,2229,0.04953333333333333,0.04909691629955947
1909,SK,Oats,16.0,1895.0,1357550.0,1442000.0,590725.0,23224,0.03931440179440518,0.01710728886597179
1909,SK,"Rye, all",41.0,1000.0,1000.0,2700.0,1000.0,41,0.041,0.041
1909,SK,Tame hay,0.55,3300.0,33000.0,16500.0,10000.0,180,0.018,0.005454545454545455
1909,SK,"Wheat, all",30.0,1555.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1910,AB,Barley,20.0,1100.0,54000.0,121400.0,49000.0,1075,0.02193877551020408,0.01990740740740741
1910,AB,Corn for silage,0.9,4000.0,2000.0,1300.0,500.0,18,0.036,0.009
1910,AB,Flaxseed,82.0,155.0,2000.0,30900.0,13000.0,163,0.012538461538461538,0.0815
1910,AB,Mixed grains,21.0,1145.0,800.0,1800.0,700.0,17,0.024285714285714285,0.02125
1910,AB,Oats,22.0,825.0,261000.0,783100.0,317000.0,5749,0.01813564668769716,0.022026819923371646
1910,AB,"Peas, dry",40.0,1000.0,100.0,300.0,100.0,4,0.04,0.04
1910,AB,"Rye, all",20.0,1000.0,3000.0,6700.0,3000.0,59,0.019666666666666666,0.019666666666666666
1910,AB,Sugar beets,0.55,4326.875,5300.0,1079.0,400.0,29,0.0725,0.005471698113207547
1910,AB,Tame hay,1.12,1970.0,118000.0,152400.0,60000.0,1321,0.022016666666666667,0.011194915254237289
1910,AB,"Wheat, all",27.0,695.0,247000.0,879800.0,356000.0,6676,0.018752808988764046,0.02702834008097166
1910,BC,Barley,39.0,1375.0,1100.0,1900.0,800.0,43,0.05375,0.03909090909090909
1910,BC,"Beans, all dry (white and coloured)",87.0,1500.0,150.0,300.0,100.0,13,0.13,0.08666666666666667
1910,BC,Corn for silage,0.6,4326.875,3000.0,400.0,200.0,18,0.09,0.006
1910,BC,Mixed grains,44.0,1250.0,250.0,500.0,200.0,11,0.055,0.044
1910,BC,Oats,37.0,2030.0,27200.0,33200.0,13400.0,1005,0.075,0.036948529411764706
1910,BC,"Peas, dry",37.0,2000.0,1200.0,1600.0,600.0,44,0.07333333333333333,0.03666666666666667
1910,BC,"Rye, all",30.0,1000.0,200.0,400.0,200.0,6,0.03,0.03
1910,BC,Tame hay,2.0,3600.0,198000.0,136400.0,55000.0,3963,0.07205454545454545,0.020015151515151514
1910,BC,"Wheat, all",40.0,1475.0,5600.0,9500.0,3800.0,224,0.05894736842105263,0.04
1910,CA,Barley,23.0,1215.0,628550.0,1283100.0,518350.0,14654,0.028270473618211632,0.023313976612839075
1910,CA,"Beans, all dry (white and coloured)",63.0,1210.0,22550.0,46100.0,18600.0,1417,0.07618279569892474,0.06283813747228381
1910,CA,Buckwheat,26.0,1070.0,156800.0,361900.0,146450.0,4095,0.02796176169341072,0.02611607142857143
1910,CA,Corn for grain,21.0,3065.0,363600.0,293600.0,118600.0,7664,0.06462057335581788,0.021078107810781076
1910,CA,Corn for silage,0.36,4326.875,1357550.0,294300.0,119050.0,8775,0.07370852582948341,0.006463850318588634
1910,CA,Flaxseed,82.0,455.0,107850.0,582200.0,236100.0,8870,0.037568826768318506,0.0822438572090867
1910,CA,Mixed grains,24.0,1545.0,267150.0,427000.0,172750.0,6308,0.03651519536903039,0.023612202882275876
1910,CA,Oats,23.0,1080.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1910,CA,"Peas, dry",32.0,910.0,130450.0,355200.0,143650.0,4196,0.029209885137486947,0.03216558068225374
1910,CA,"Rye, all",26.0,850.0,39900.0,114700.0,46900.0,1038,0.022132196162046907,0.026015037593984963
1910,CA,Sugar beets,0.64,4326.875,170500.0,17045.0,6900.0,1096,0.15884057971014492,0.0064281524926686215
1910,CA,Tame hay,0.96,2820.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1910,CA,"Wheat, all",29.0,1000.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1910,MA,Barley,21.0,845.0,142000.0,416000.0,168000.0,2925,0.017410714285714286,0.020598591549295775
1910,MA,Corn for silage,0.72,4326.875,13000.0,4600.0,1900.0,94,0.049473684210526316,0.007230769230769231
1910,MA,Flaxseed,86.0,320.0,4500.0,34700.0,14000.0,387,0.027642857142857143,0.086
1910,MA,Mixed grains,20.0,1000.0,200.0,500.0,200.0,4,0.02,0.02
1910,MA,Oats,21.0,955.0,468000.0,1209200.0,489000.0,9903,0.02025153374233129,0.02116025641025641
1910,MA,"Peas, dry",40.0,1500.0,150.0,300.0,100.0,6,0.06,0.04
1910,MA,"Rye, all",20.0,1000.0,1000.0,2700.0,1000.0,20,0.02,0.02
1910,MA,Tame hay,0.89,1900.0,114000.0,138200.0,60000.0,1020,0.017,0.008947368421052631
1910,MA,"Wheat, all",31.0,830.0,929000.0,1442000.0,590725.0,28584,0.0483879977993144,0.030768568353067814
1910,MP,Barley,33.0,1305.0,6850.0,12800.0,5250.0,224,0.042666666666666665,0.0327007299270073
1910,MP,Mixed grains,25.0,1670.0,6600.0,9700.0,3950.0,167,0.04227848101265823,0.025303030303030303
1910,MP,Oats,27.0,1090.0,211650.0,478900.0,193800.0,5742,0.029628482972136223,0.027129695251594615
1910,MP,Tame hay,0.91,2670.0,1357550.0,1385900.0,561000.0,13597,0.024237076648841355,0.010015837354056941
1910,MP,"Wheat, all",38.0,1155.0,25300.0,54400.0,21950.0,953,0.04341685649202733,0.03766798418972332
1910,NB,Barley,34.0,1190.0,1250.0,2600.0,1050.0,42,0.04,0.0336
1910,NB,"Beans, all dry (white and coloured)",73.0,1500.0,150.0,200.0,100.0,11,0.11,0.07333333333333333
1910,NB,Buckwheat,24.0,1060.0,25050.0,58400.0,23650.0,609,0.025750528541226215,0.024311377245508983
1910,NB,Corn for silage,0.45,4326.875,2000.0,200.0,100.0,9,0.09,0.0045
1910,NB,Mixed grains,30.0,1335.0,400.0,700.0,300.0,12,0.04,0.03
